x,y,T,u,v,p
5.8,0.7,302.368,-0.0552347,-0.0279406,-0.466585
5.8,0.75,302.381,-0.0626947,-0.0183688,-0.46679
5.8,0.8,302.574,-0.0662482,-0.00850853,-0.467428
5.8,0.85,303.168,-0.064061,0.000897763,-0.468539
5.8,0.9,304.676,-0.0535464,0.00900652,-0.47007
5.8,0.95,308.041,-0.0311578,0.0149395,-0.471836
5.8,1,314.492,0.00771052,0.0180039,-0.473515
5.85,0,316.26,0.0109189,-0.000786921,-0.466594
5.85,0.05,316.812,0.0194425,-0.002646,-0.467033
5.85,0.1,317.325,0.0337111,-0.00795984,-0.467737
5.85,0.15,316.349,0.0424072,-0.0155623,-0.468189
5.85,0.2,313.922,0.0457286,-0.0239703,-0.468535
5.85,0.25,310.846,0.0442177,-0.0321838,-0.468821
5.85,0.3,307.898,0.0385775,-0.0394397,-0.469028
5.85,0.35,305.5,0.0295635,-0.0451386,-0.469119
5.85,0.4,303.765,0.0179396,-0.0488648,-0.469059
5.85,0.45,302.644,0.00446842,-0.0503884,-0.468824
5.85,0.5,302.021,-0.0100879,-0.0496558,-0.46842
5.85,0.55,301.721,-0.0249665,-0.0467735,-0.467885
5.85,0.6,301.582,-0.0393991,-0.0419879,-0.467292
5.85,0.65,301.528,-0.0525924,-0.0356591,-0.466738
5.85,0.7,301.529,-0.0636762,-0.0282327,-0.466341
5.85,0.75,301.585,-0.0716067,-0.0202126,-0.466215
5.85,0.8,301.743,-0.0750149,-0.012138,-0.466456
5.85,0.85,302.172,-0.07201,-0.00456782,-0.467108
5.85,0.9,303.315,-0.0599771,0.00193289,-0.468138
5.85,0.95,306.085,-0.0354419,0.00682907,-0.469402
5.85,1,311.748,0.00589885,0.00972576,-0.470644
5.9,0,311.859,0.013226,-0.00071651,-0.46748
5.9,0.05,312.409,0.0233362,-0.00243668,-0.467893
5.9,0.1,313.009,0.0401351,-0.00737088,-0.468559
5.9,0.15,312.313,0.0501572,-0.0144411,-0.468996
5.9,0.2,310.328,0.0537673,-0.0222401,-0.469339
5.9,0.25,307.793,0.0516853,-0.0298124,-0.469626
5.9,0.3,305.423,0.0448005,-0.0364365,-0.469828
5.9,0.35,303.591,0.0340583,-0.0415616,-0.469898
5.9,0.4,302.369,0.0204112,-0.0448259,-0.469792
5.9,0.45,301.666,0.00480344,-0.0460566,-0.469481
5.9,0.5,301.338,-0.0118353,-0.0452562,-0.468962
5.9,0.55,301.225,-0.0285947,-0.0425836,-0.468269
5.9,0.6,301.208,-0.0445857,-0.0383283,-0.467468
5.9,0.65,301.231,-0.0589254,-0.0328793,-0.466651
5.9,0.7,301.274,-0.0706892,-0.0266866,-0.46593
5.9,0.75,301.338,-0.0788127,-0.0202205,-0.465414
5.9,0.8,301.458,-0.0819333,-0.0139321,-0.465199
5.9,0.85,301.762,-0.0781849,-0.00822173,-0.465338
5.9,0.9,302.616,-0.0649933,-0.00342053,-0.465823
5.9,0.95,304.857,-0.0389644,0.00021844,-0.466556
5.9,1,309.754,0.0040237,0.00255107,-0.467339
5.95,0,308.57,0.0153041,-0.000627176,-0.468624
5.95,0.05,309.094,0.0268667,-0.0021592,-0.468997
5.95,0.1,309.741,0.0459836,-0.00657142,-0.469602
5.95,0.15,309.3,0.0572121,-0.0129069,-0.470006
5.95,0.2,307.743,0.0610568,-0.0198787,-0.470327
5.95,0.25,305.717,0.0584047,-0.0266016,-0.470591
5.95,0.3,303.859,0.050329,-0.0324109,-0.47076
5.95,0.35,302.493,0.0379657,-0.0368107,-0.47078
5.95,0.4,301.653,0.0224565,-0.0394931,-0.470598
5.95,0.45,301.23,0.00492544,-0.0403359,-0.470177
5.95,0.5,301.078,-0.013534,-0.0393886,-0.469508
5.95,0.55,301.066,-0.0318711,-0.0368513,-0.468617
5.95,0.6,301.107,-0.0490867,-0.0330469,-0.467564
5.95,0.65,301.166,-0.0642258,-0.0283859,-0.466438
5.95,0.7,301.226,-0.0763367,-0.0233216,-0.465341
5.95,0.75,301.289,-0.0843751,-0.018299,-0.464382
5.95,0.8,301.379,-0.0870417,-0.0137014,-0.463658
5.95,0.85,301.591,-0.0825614,-0.00980426,-0.463236
5.95,0.9,302.228,-0.068458,-0.00675126,-0.463134
5.95,0.95,304.029,-0.0414301,-0.00456045,-0.463299
5.95,1,308.222,0.00253773,-0.00314955,-0.463589
6,0,306.108,0.0171122,-0.000533432,-0.469984
6,0.05,306.587,0.0299582,-0.00185551,-0.470308
6,0.1,307.24,0.0511238,-0.0056741,-0.470838
6,0.15,307.013,0.0634075,-0.0111594,-0.471193
6,0.2,305.841,0.0674241,-0.0171669,-0.471471
6,0.25,304.268,0.0642106,-0.0228978,-0.471688
6,0.3,302.844,0.0550144,-0.0277533,-0.471798
6,0.35,301.843,0.0411559,-0.031297,-0.471739
6,0.4,301.277,0.0239607,-0.0332735,-0.471451
6,0.45,301.035,0.00472773,-0.0336068,-0.470889
6,0.5,300.987,-0.0152913,-0.0323869,-0.470037
6,0.55,301.028,-0.0349116,-0.0298486,-0.468913
6,0.6,301.099,-0.0530325,-0.0263433,-0.467571
6,0.65,301.175,-0.0686397,-0.0223012,-0.466092
6,0.7,301.245,-0.0807731,-0.0181831,-0.464575
6,0.75,301.308,-0.0884392,-0.0144215,-0.463128
6,0.8,301.378,-0.0904458,-0.0113557,-0.461851
6,0.85,301.522,-0.0851652,-0.00917221,-0.460827
6,0.9,301.983,-0.0702737,-0.00787046,-0.460101
6,0.95,303.408,-0.0425896,-0.00727399,-0.459664
6,1,306.962,0.00183147,-0.00709093,-0.459429
