x,y,z,T,u,v,w,p
10,3.35,1,300,1.25315,-0.195369,0,0
10,3.45,1,300,1.25612,-0.186911,0,0
10,3.55,1,300,1.25816,-0.178724,0,0
10,3.65,1,300,1.25784,-0.170554,0,0
10,3.75,1,300,1.25286,-0.162048,0,0
10,3.85,1,300,1.23993,-0.15277,0,0
10,3.95,1,300,1.21473,-0.142239,0,0
10,4.05,1,300,1.17226,-0.130019,0,0
10,4.15,1,300,1.10758,-0.115835,0,0
10,4.25,1,300,1.01698,-0.0997294,0,0
10,4.35,1,300,0.899302,-0.0821632,0,0
10,4.45,1,300,0.757167,-0.0640338,0,0
10,4.55,1,300,0.597425,-0.0465344,0,0
10,4.65,1,300,0.430744,-0.0308833,0,0
10,4.75,1,300,0.270558,-0.0180076,0,0
10,4.85,1,300,0.131934,-0.00829953,0,0
10,4.95,1,300,0.0307555,-0.00188541,0,0
4.5,0,0,462.441,0,0,0,0.524543
4.5,0.1,0,460.414,0,0,0,0.524475
4.5,0.2,0,453.16,0,0,0,0.525756
4.5,0.3,0,440.06,0,0,0,0.528731
4.5,0.4,0,422.715,0,0,0,0.532897
4.5,0.5,0,405.151,0,0,0,0.536431
4.5,0.6,0,389.518,0,0,0,0.53441
4.5,0.7,0,375.737,0,0,0,0.5149
4.5,0.8,0,363.326,0,0,0,0.447825
4.5,0.9,0,351.427,0,0,0,0.236354
4.5,1,0,340.435,0,0,0,-0.765808
4.5,0.05,1,461.972,0,0,0,0.524457
4.5,0.15,1,457.518,0,0,0,0.524899
4.5,0.25,1,447.32,0,0,0,0.527047
4.5,0.35,1,431.701,0,0,0,0.530728
4.5,0.45,1,413.717,0,0,0,0.534954
4.5,0.55,1,397.083,0,0,0,0.536624
4.5,0.65,1,382.422,0,0,0,0.528064
4.5,0.75,1,369.399,0,0,0,0.490614
4.5,0.85,1,357.403,0,0,0,0.372312
4.5,0.95,1,345.602,0,0,0,-0.043023
4.55,1,0,340.87,0,0,0,-1.24384
4.65,1,0,369.408,0,0,0,-1.0135
4.75,1,0,400.953,0,0,0,-0.862944
4.85,1,0,415.085,0,0,0,-0.766442
4.95,1,0,426.353,0,0,0,-0.69953
5.05,1,0,435.313,0,0,0,-0.648304
5.15,1,0,441.586,0,0,0,-0.606839
5.25,1,0,445.237,0,0,0,-0.572141
5.35,1,0,445.62,0,0,0,-0.542619
5.45,1,0,436.984,0,0,0,-0.518842
4.55,1,1,340.87,0,0,0,-1.24384
4.65,1,1,369.408,0,0,0,-1.0135
4.75,1,1,400.953,0,0,0,-0.862944
4.85,1,1,415.085,0,0,0,-0.766442
4.95,1,1,426.353,0,0,0,-0.69953
5.05,1,1,435.313,0,0,0,-0.648304
5.15,1,1,441.586,0,0,0,-0.606839
5.25,1,1,445.237,0,0,0,-0.572141
5.35,1,1,445.62,0,0,0,-0.542619
5.45,1,1,436.984,0,0,0,-0.518842
5.5,0,0,458.538,0,0,0,-0.467156
5.5,0.1,0,456.581,0,0,0,-0.467827
5.5,0.2,0,450.287,0,0,0,-0.468584
5.5,0.3,0,442.456,0,0,0,-0.4686
5.5,0.4,0,436.215,0,0,0,-0.467779
5.5,0.5,0,431.798,0,0,0,-0.466357
5.5,0.6,0,428.233,0,0,0,-0.464918
5.5,0.7,0,425.652,0,0,0,-0.464518
5.5,0.8,0,423.914,0,0,0,-0.466745
5.5,0.9,0,422.888,0,0,0,-0.47399
5.5,0,1,458.538,0,0,0,-0.467156
5.5,0.1,1,456.581,0,0,0,-0.467827
5.5,0.2,1,450.287,0,0,0,-0.468584
5.5,0.3,1,442.456,0,0,0,-0.4686
5.5,0.4,1,436.215,0,0,0,-0.467779
5.5,0.5,1,431.798,0,0,0,-0.466357
5.5,0.6,1,428.233,0,0,0,-0.464918
5.5,0.7,1,425.652,0,0,0,-0.464518
5.5,0.8,1,423.914,0,0,0,-0.466745
5.5,0.9,1,422.888,0,0,0,-0.47399
0,5,0,300,0.868619,-0.0645017,0,0.990197
0.1,5,0,300,0.723804,-0.0890892,0,0.655676
0.2,5,0,300,0.483744,-0.0517061,0,0.446918
0.3,5,0,300,0.341455,-0.0213357,0,0.364329
0.4,5,0,300,0.268759,-0.00829544,0,0.328801
0.5,5,0,300,0.228418,-0.00409285,0,0.310921
0.6,5,0,300,0.202828,-0.00268614,0,0.298617
0.7,5,0,300,0.18457,-0.00202055,0,0.288695
0.8,5,0,300,0.170664,-0.00158729,0,0.280197
0.9,5,0,300,0.159689,-0.00127177,0,0.272669
1,5,0,300,0.150819,-0.00103437,0,0.265822
1.1,5,0,300,0.143528,-0.000851856,0,0.259452
1.2,5,0,300,0.137455,-0.000708502,0,0.25342
1.3,5,0,300,0.132348,-0.000593613,0,0.24762
1.4,5,0,300,0.12802,-0.000499872,0,0.241978
1.5,5,0,300,0.124335,-0.000422188,0,0.236434
1.6,5,0,300,0.121186,-0.000356945,0,0.230944
1.7,5,0,300,0.118491,-0.000301516,0,0.225469
1.8,5,0,300,0.116183,-0.000253962,0,0.219983
1.9,5,0,300,0.114211,-0.000212824,0,0.21446
2,5,0,300,0.112531,-0.000176995,0,0.208882
2.1,5,0,300,0.111106,-0.000145622,0,0.203234
2.2,5,0,300,0.109906,-0.000118043,0,0.197502
2.3,5,0,300,0.108904,-9.37E-05,0,0.191673
2.4,5,0,300,0.108079,-7.23E-05,0,0.185742
2.5,5,0,300,0.10741,-5.34E-05,0,0.1797
2.6,5,0,300,0.106879,-3.69E-05,0,0.173542
2.7,5,0,300,0.10647,-2.24E-05,0,0.167263
2.8,5,0,300,0.106169,-9.82E-06,0,0.160863
2.9,5,0,300,0.105963,9.30E-07,0,0.154339
3,5,0,300,0.10584,9.99E-06,0,0.147693
3.1,5,0,300,0.105786,1.72E-05,0,0.140927
3.2,5,0,300,0.105791,2.27E-05,0,0.134041
3.3,5,0,300,0.105844,2.71E-05,0,0.127043
3.4,5,0,300,0.105936,2.97E-05,0,0.119939
3.5,5,0,300,0.106055,3.09E-05,0,0.112734
3.6,5,0,300,0.106192,3.07E-05,0,0.10544
3.7,5,0,300,0.106336,2.91E-05,0,0.0980646
3.8,5,0,300,0.106481,2.62E-05,0,0.0906205
3.9,5,0,300,0.106615,2.19E-05,0,0.0831205
4,5,0,300,0.106728,1.63E-05,0,0.0755785
4.1,5,0,300,0.106816,9.43E-06,0,0.0680104
4.2,5,0,300,0.106866,1.40E-06,0,0.0604327
4.3,5,0,300,0.106873,-7.50E-06,0,0.0528627
4.4,5,0,300,0.106829,-1.76E-05,0,0.0453192
4.5,5,0,300,0.106726,-2.87E-05,0,0.0378212
0.05,5,1,300,0.827222,-0.0799475,0,0.865451
0.15,5,1,300,0.597335,-0.0721837,0,0.523589
0.25,5,1,300,0.40023,-0.0341522,0,0.397323
0.35,5,1,300,0.299395,-0.0131159,0,0.342928
0.45,5,1,300,0.245959,-0.00559495,0,0.318751
0.55,5,1,300,0.214404,-0.00322733,0,0.304365
0.65,5,1,300,0.193025,-0.00230925,0,0.293438
0.75,5,1,300,0.177182,-0.00178531,0,0.284302
0.85,5,1,300,0.164871,-0.0014179,0,0.276332
0.95,5,1,300,0.155028,-0.00114497,0,0.269175
1.05,5,1,300,0.147002,-0.000937376,0,0.262587
1.15,5,1,300,0.140357,-0.000776049,0,0.256401
1.25,5,1,300,0.134794,-0.000648021,0,0.250497
1.35,5,1,300,0.130096,-0.00054446,0,0.244784
1.45,5,1,300,0.126105,-0.000459276,0,0.239197
1.55,5,1,300,0.122699,-0.000388195,0,0.233685
1.65,5,1,300,0.119786,-0.000328138,0,0.228206
1.75,5,1,300,0.117292,-0.000276855,0,0.222729
1.85,5,1,300,0.115158,-0.000232666,0,0.217228
1.95,5,1,300,0.113338,-0.000194304,0,0.211679
2.05,5,1,300,0.111789,-0.000160797,0,0.206068
2.15,5,1,300,0.11048,-0.000131394,0,0.200379
2.25,5,1,300,0.109382,-0.000105511,0,0.1946
2.35,5,1,300,0.108471,-8.27E-05,0,0.188722
2.45,5,1,300,0.107726,-6.26E-05,0,0.182736
2.55,5,1,300,0.107128,-4.49E-05,0,0.176636
2.65,5,1,300,0.10666,-2.94E-05,0,0.170417
2.75,5,1,300,0.106307,-1.59E-05,0,0.164079
2.85,5,1,300,0.106055,-4.23E-06,0,0.157617
2.95,5,1,300,0.105892,5.67E-06,0,0.151031
3.05,5,1,300,0.105805,1.39E-05,0,0.144325
3.15,5,1,300,0.105781,2.01E-05,0,0.137498
3.25,5,1,300,0.105812,2.51E-05,0,0.130556
3.35,5,1,300,0.105886,2.86E-05,0,0.123504
3.45,5,1,300,0.105993,3.05E-05,0,0.116349
3.55,5,1,300,0.106121,3.10E-05,0,0.109098
3.65,5,1,300,0.106264,3.01E-05,0,0.101762
3.75,5,1,300,0.106409,2.78E-05,0,0.0943504
3.85,5,1,300,0.10655,2.42E-05,0,0.0868766
3.95,5,1,300,0.106674,1.92E-05,0,0.0793537
4.05,5,1,300,0.106776,1.30E-05,0,0.0717967
4.15,5,1,300,0.106846,5.56E-06,0,0.0642217
4.25,5,1,300,0.106876,-2.91E-06,0,0.0566455
4.35,5,1,300,0.106858,-1.24E-05,0,0.0490865
4.45,5,1,300,0.106786,-2.30E-05,0,0.0415633
4.55,5,0,300,0.106651,-3.45E-05,0,0.0340955
4.65,5,0,300,0.106449,-4.68E-05,0,0.0267032
4.75,5,0,300,0.106172,-5.98E-05,0,0.0194074
4.85,5,0,300,0.105817,-7.35E-05,0,0.0122283
4.95,5,0,300,0.105377,-8.76E-05,0,0.00518661
5.05,5,0,300,0.104851,-0.000102119,0,-0.00169686
5.15,5,0,300,0.104234,-0.000116939,0,-0.00840183
5.25,5,0,300,0.103522,-0.000131943,0,-0.0149084
5.35,5,0,300,0.102715,-0.000147029,0,-0.0211975
5.45,5,0,300,0.101811,-0.000162102,0,-0.0272507
4.55,5,1,300,0.106651,-3.45E-05,0,0.0340955
4.65,5,1,300,0.106449,-4.68E-05,0,0.0267032
4.75,5,1,300,0.106172,-5.98E-05,0,0.0194074
4.85,5,1,300,0.105817,-7.35E-05,0,0.0122283
